,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2000-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-13,30.3164659093638,30.6282485029959,25.3837482750838,28.3329146411005,25.4892734723464,24.3235418519182,23.3042635948842,22.3320887172819,25.2124176581976,23.4767669060851,27.7611444702974,42.3601929311002,49.7979850769043,41.5234413146973,41.5234413146973
2000-05-14,0.0,8.23790492182193,21.0002389864272,12.8439164053001,23.1251759591156,26.6246103591745,29.6212968042933,29.930636546165,33.5654379179183,38.9024904956432,33.986307884908,21.1800964655501,24.8989925384521,20.7617206573486,20.7617206573486
2000-05-15,15.1582329546819,14.9415155691143,10.4011232621966,12.4385790081106,7.76624474117747,6.09910478208859,4.97786528770905,5.00334474328276,0.297850424250654,1.37186639856073,1.76564689708498,0.0,0.0,0.0,0.0
2000-05-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-18,0.0,0.273331331170124,1.23004958159531,0.459909046986843,1.21570581208818,1.44246974466605,2.2318417156868,3.51440489402728,4.30168814521623,5.96855449506417,5.29129881852373,6.64928158749356,7.53471597035726,6.54967021942139,6.54967021942139
2000-05-19,9.05947960400191,13.1830237528799,13.5783974771958,13.2722584831069,13.2710763973818,13.1189056734733,12.4741787510986,12.6764945012961,12.5502952973873,11.9657152064774,10.9359089924937,13.2985631749871,15.0694319407145,13.0993404388428,13.0993404388428
2000-05-20,9.05947960400191,7.47984699975877,8.11271654223169,5.76523547379719,8.58212351355854,8.78547363463745,9.78663410943627,7.36066693432477,6.73127206815568,6.62282271164068,9.91773981783483,0.0,0.0,0.0,0.0
2000-05-21,36.6156880738305,41.0637806878574,41.5934352028492,40.1867281460015,38.1374846479707,37.4425133296422,35.5087040054297,35.7107817127001,30.6739977835509,23.6401643514917,26.2730159604662,29.6035894329628,34.6347630818685,29.0375823974609,29.0375823974609
2000-05-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-26,7.86926536872739,8.76631885631238,8.12244035954174,8.13535486632942,6.29792148218279,5.60288307033465,4.58140534179572,3.83706955896459,2.58543384897393,0.0,0.0,8.84858777549829,9.61008421579997,8.76291942596436,8.76291942596436
2000-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-28,1.74158999177276,1.80010038478528,2.76159764087303,1.88564233452167,3.52900276762402,3.7479675069999,4.53814332427714,4.85401046270563,5.09887843583007,6.39311138316369,5.24743817784951,0.0,0.0,0.0,0.0
2000-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-05-31,7.86926536872739,8.4857529616504,7.96884591875504,7.61986685325617,8.20491969912247,8.64860848307203,9.29395123603737,9.79311085554576,10.7738811238827,12.889013208759,14.4721292797703,8.84858777549829,9.61008421579997,8.76291942596436,8.76291942596436
2000-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-04,0.0,0.0,0.190913818050914,1.01972602914881,2.57158391028089,3.93562668622918,5.86877451402877,6.67321593420846,5.18842265889169,9.70075064351811,11.7361047406642,0.0,0.0,0.0,0.0
2000-06-05,0.0,1.1171216826508,10.6605671426698,5.79387563178342,7.59547694309937,6.40704552645754,4.99501530374855,9.58578061084358,8.52834528600744,0.0,0.0,26.7765665804402,26.5655975341797,26.8003005981445,26.8003005981445
2000-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-08,4.16993771615576,4.06219291489564,3.88207663235373,3.40594822516468,3.2506766391288,3.14778786357852,2.97292174852572,2.6678939101205,2.44414037937662,1.51841382521086,0.940665624783713,0.0,0.0,0.0,0.0
2000-06-09,15.5285631867706,16.8344638935034,16.6538543583496,16.5909083939006,17.2436805697622,16.9330445405614,16.5100033362155,15.3562940498451,14.5273168900434,11.5415546222192,10.7135307262973,15.2349138367042,14.5223878224691,15.3150730133057,15.3150730133057
2000-06-10,0.0,0.0,0.0,0.0,0.003737492189088,0.123771218469352,0.465623504831979,0.599985802826059,0.861363733736014,1.94593771544421,2.67168665867858,0.0,0.0,0.0,0.0
2000-06-11,40.5826991347016,41.8347141668663,38.5174537998198,40.1288002562998,35.5475311075445,33.7747229695004,31.5864219696706,30.6791241443224,26.8458185501715,20.5327486770757,18.4360450181974,25.8238571252716,25.337718963623,25.878547668457,25.878547668457
2000-06-12,81.0104852895268,79.0683320086935,76.3911013674567,74.8468488668784,73.9593062613533,73.9454736734891,71.9683094671614,67.4707132111233,67.2594718141127,57.7193827271887,54.0424427089253,68.8636261157775,67.567253112793,69.0094680786133,69.0094680786133
2000-06-13,75.5986077980917,73.9902136350517,70.160097623441,70.5208734080323,70.7561609257553,69.1376782374294,68.1832419911062,63.7697108627914,62.3736313737388,56.0843111326238,52.4268901809465,60.2556705689162,59.1213493347168,60.3832817077637,60.3832817077637
2000-06-14,0.0,0.0,3.76624918322014,1.42735667513986,5.21181639397455,7.04908970261488,7.6400550956087,12.0154727920752,17.003035252097,15.1509755391995,16.5482324489237,25.2605469092894,19.7672068277995,25.878547668457,25.878547668457
2000-06-15,10.7998005913906,11.2617086189381,13.0960794154914,14.7928849441713,9.66267875512736,8.10085599446848,5.80317008938651,6.76023504287281,1.62437055405174,0.0,0.0,0.563310215982159,5.57051213582357,0.0,0.0
2000-06-16,5.54382843267722,2.72821684653715,18.5883047174487,18.3203429156898,19.9825734804111,21.8939358551153,19.953447737497,26.614264354635,25.3011161848198,24.4467066267016,24.0714275272354,31.9064660875985,32.1778062184652,31.875940322876,31.875940322876
2000-06-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-06-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
